Gene,Mean_Absolute_SHAP
S100P,0.3161494495162407
PRC1,0.2997464070093795
TGFBI,0.22015642598166726
ARL4A,0.17235867769635294
NCAPH,0.14418756878188616
RHOB,0.12686867690295006
GFI1,0.11387802711120243
MAP3K14,0.11192909508638484
UBL5,0.106972983629582
B4GALT4,0.10231357025020404
CX3CR1,0.09326286910402821
LTB,0.09133137991764988
CEP55,0.08736547427451159
RAB13,0.08516725972840158
HMGB3,0.08452007726262273
CKS2,0.08373729440480408
ABCA5,0.0780836037811807
BRCA1,0.07696327733980933
IL10,0.07219474940108378
KLF9,0.06988180215010063
GIMAP8,0.06540073370305936
NCR3,0.06438876054706108
ATP8B4,0.06262644207896503
TCN1,0.048751186928913066
NUSAP1,0.04796604785903992
SLC44A1,0.04717606489218883
NCAPG,0.04556717749617836
APPL2,0.042672143110384815
ASPM,0.042388395399337975
ANLN,0.0416094248442717
ARG1,0.038664720247428404
CD300LB,0.028085002516549887
KIF11,0.028078516556101777
ENPP4,0.0203999414671854
CENPN,0.015448387635669726
KIF2C,0.010001040833880247
